Blog	here	want	how	re	best	and	much	life	things	had	has	right	old	people	for	support	week	time	love	data	so	years	didn	internet	one	take	going	where	many	s	being	around	world	her	with	am	an	as	at	tv	to	small	past	more	company	its	always	found	really	major	self	also	see	read	using	d	be	by	into	up	us	ago	video	let	great	next	this	could	should	means	ve	site	off	become	does	told	work	after	then	them	they	another	last	do	we	com	the	night	post	available	way	was	change	or	live	can	still	not	now	year	that	than	only	between	these	media	real	t	your	lot	trying	you	since	very	family	a	help	put	during	both	look	while	game	some	doesn	youtube	go	facebook	need	she	i	well	twitter	home	he	even	new	ever	never	before	better	went	side	content	isn	don	m	said	three	say	is	it	in	if	make	left	just	down	me	did	making	may	talk	thing	think	first	long	little	were	show	get	those	according	different	same	money	again	two	through	good	most	find	big	google	often	back	later	ll	day	have	thought	latest	like	about	but	every	would	my	end	over	writing	each	got	free	days	top	too	took	full	news	games	been	no	when	today	place	any	ways	come	without	blog	on	of	there	idea	all	list	design	what	version	might	used	feel	story	store	nothing	part	his	him	are	called	apple	app	use	from	few	something	our	out	their	which	who	why	will	other	know	because	getting	own	made	book
Latest from Crooks and Liars	0	1	1	2	0	28	2	2	0	1	5	1	0	4	13	2	0	0	0	0	4	1	1	0	2	0	0	1	1	33	1	0	3	2	11	1	2	3	7	0	37	0	1	8	0	2	0	3	0	0	0	1	0	5	1	1	2	4	7	2	2	2	0	1	0	1	9	1	2	1	1	0	3	0	0	3	1	2	0	3	1	0	0	2	5	1	58	0	0	0	2	9	0	2	0	1	2	7	1	0	20	2	2	0	0	2	0	13	1	0	2	9	3	1	4	24	0	2	1	1	1	1	0	1	3	0	1	0	0	1	13	1	4	0	9	3	0	0	0	0	2	0	0	0	0	3	2	5	2	1	18	12	17	5	0	1	3	1	5	3	2	4	2	1	5	0	5	0	2	3	2	1	0	0	1	5	1	1	1	0	0	0	1	0	0	0	0	0	2	9	0	0	1	3	5	0	2	3	0	1	0	1	1	0	0	0	2	0	0	9	0	1	1	4	1	0	3	0	0	1	0	13	39	2	0	1	0	0	7	1	1	0	0	1	0	0	1	7	9	5	2	0	0	0	4	1	1	2	7	2	0	6	2	5	1	3	2	2	2	1	0
Creating Passionate Users	1	1	3	1	0	12	1	0	1	0	2	0	0	1	6	0	0	3	1	0	2	0	0	0	1	0	2	0	0	6	0	0	0	0	3	1	3	1	4	0	14	0	0	4	0	1	2	0	1	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	1	1	6	1	0	0	3	1	0	0	2	0	1	0	0	0	0	0	1	2	2	0	16	0	4	0	0	2	1	1	0	2	0	2	0	0	8	0	0	0	1	0	0	2	4	0	1	2	0	1	0	11	0	0	0	1	0	0	0	1	0	0	0	0	0	0	11	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	4	7	3	2	1	0	2	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	1	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3	6	10	2	1	4	0	2	3	0	1	0	2	1	0	1	0	0	0	4	0	0	5	0	1	1	1	1	1	0	1	2	1	2	1	0	0	0	1	0	0
Kotaku	6	3	0	5	5	18	0	1	2	1	6	4	0	3	16	0	1	7	2	0	2	1	1	0	5	0	2	2	2	24	1	0	3	1	9	0	3	9	5	1	36	0	0	25	0	2	0	0	0	0	0	1	1	23	0	1	8	4	3	5	0	0	6	0	0	1	4	0	1	2	1	0	5	0	0	0	1	1	1	0	5	0	3	0	6	0	52	2	0	3	1	5	0	6	1	2	1	3	5	0	6	1	2	0	3	0	0	12	3	0	0	12	1	0	3	24	0	0	2	0	2	1	11	6	1	0	1	0	1	0	3	1	0	0	3	2	3	1	0	1	1	0	1	1	1	3	0	1	0	1	14	10	18	2	1	0	1	1	0	0	2	1	0	0	0	1	3	1	5	0	5	1	0	1	1	0	1	1	1	3	2	1	0	0	0	0	0	1	1	2	0	2	4	3	8	1	0	1	1	3	0	0	1	0	0	0	1	0	0	0	9	1	5	0	3	1	2	0	2	0	0	15	24	9	0	6	0	0	3	1	0	0	0	1	0	0	2	3	2	9	0	1	0	0	4	0	0	2	6	3	5	1	1	4	0	1	0	0	0	1	0
The Write News	0	0	0	0	0	7	0	0	0	0	4	0	1	4	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	3	0	0	2	5	0	8	0	1	15	1	1	0	0	0	0	0	1	0	15	0	0	2	1	2	1	0	0	4	0	0	0	4	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	15	17	1	0	0	0	4	0	0	0	0	0	5	0	2	2	0	0	0	0	0	0	2	0	0	0	4	0	2	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	2	8	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	1	4	0	0	0	2	1	0	0	0	4	0	0	0	0	0	0	0
Derek Powazek	6	1	7	7	1	70	1	5	1	3	5	4	2	2	33	0	3	4	1	0	7	5	1	1	13	1	4	0	1	43	0	1	3	9	17	3	5	10	7	0	52	2	0	6	1	1	4	1	2	0	1	2	3	0	1	2	7	5	4	11	4	2	0	1	5	1	9	1	1	0	11	2	1	0	0	0	3	4	7	2	6	3	7	7	7	1	97	2	3	1	0	13	1	5	2	8	4	6	10	4	19	2	1	4	2	2	0	10	6	1	0	19	1	1	1	62	0	1	0	2	0	1	0	3	0	1	4	0	1	7	69	2	1	0	5	1	5	1	3	1	0	3	0	1	0	4	12	3	4	3	17	39	35	9	1	1	11	2	15	4	0	0	3	4	4	3	1	7	2	3	6	1	0	0	3	3	2	9	1	1	2	1	1	0	2	2	1	4	2	3	1	0	9	9	14	3	0	22	0	5	2	1	1	0	4	2	2	3	1	1	0	8	2	11	2	0	0	1	3	0	1	14	39	7	0	10	0	1	9	0	1	1	5	3	0	0	2	3	2	11	0	0	0	0	5	5	8	3	9	4	2	1	1	5	3	6	3	2	2	2	6
Captain's Quarters	0	0	1	0	1	12	0	0	0	3	7	0	0	0	8	0	1	1	1	0	0	2	1	0	2	1	0	0	0	4	0	0	1	1	4	0	1	4	5	0	22	0	1	3	0	3	0	0	0	2	0	2	0	0	0	0	4	4	2	1	3	1	0	0	0	1	1	0	2	1	0	1	1	1	0	1	1	3	0	0	2	1	0	0	1	0	50	0	1	0	0	1	1	0	0	1	1	3	0	0	9	2	1	1	0	1	0	1	0	0	0	2	1	0	1	20	0	0	0	0	1	1	0	1	0	0	0	0	0	1	3	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	1	0	0	0	2	2	3	0	0	1	0	0	2	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	2	0	0	2	2	0	3	0	3	1	0	1	2	0	1	0	1	1	0	0	0	1	0	0	1	0	2	1	2	2	0	0	0	0	0	1	14	20	0	0	0	0	0	0	0	0	0	0	4	0	1	0	6	1	0	0	0	0	1	3	1	0	0	4	6	0	1	0	5	2	0	0	0	0	0	0
blog maverick	0	0	1	0	0	11	0	0	0	1	1	2	0	1	6	0	2	2	1	0	0	0	0	1	3	1	0	0	0	2	0	0	0	0	2	0	1	1	1	0	17	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	4	2	1	3	1	0	1	0	0	5	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	8	3	37	0	0	0	0	3	0	4	2	1	0	5	1	2	10	4	0	0	0	2	2	4	1	0	0	5	0	2	0	21	0	0	0	0	0	1	0	3	0	0	3	0	0	0	11	0	0	0	1	2	1	0	0	0	1	0	0	0	2	2	1	1	0	0	12	8	11	2	0	0	0	0	2	0	0	2	0	0	1	0	2	0	2	0	1	0	0	0	0	3	0	0	1	0	1	4	0	0	0	2	0	0	2	6	0	0	2	2	2	1	1	4	0	0	0	0	0	1	1	0	0	2	1	4	0	2	3	3	0	0	1	0	0	0	0	12	15	4	0	2	0	0	2	2	0	0	2	0	0	1	0	0	1	6	1	3	0	1	3	0	0	3	2	1	1	1	1	1	1	1	0	1	0	0	0
plasticbag.org	1	0	1	2	0	15	1	1	1	1	1	1	0	4	10	1	0	3	0	0	1	2	1	0	2	2	5	0	2	7	2	0	0	0	6	0	0	5	6	1	15	0	0	10	2	1	0	0	0	0	1	0	0	6	0	1	5	1	1	2	2	1	0	0	1	0	3	3	2	0	3	0	0	0	0	1	0	0	0	3	1	1	3	1	4	0	25	0	1	0	1	3	0	1	0	1	0	0	1	1	3	0	0	0	2	1	0	5	1	0	0	3	0	1	0	13	0	1	0	0	1	1	0	6	1	0	0	0	1	0	16	0	1	0	1	0	2	1	0	0	1	0	1	1	0	1	0	0	0	0	0	11	8	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	2	0	2	1	0	0	0	0	0	1	1	3	0	0	2	4	1	0	0	3	1	2	0	0	0	0	1	0	1	1	0	1	0	2	0	0	0	0	1	1	0	1	2	11	18	2	0	6	1	3	0	0	0	0	0	1	0	0	0	1	0	4	1	1	0	0	2	1	1	0	1	0	3	1	0	2	0	2	0	1	0	1	0
43 Folders	28	26	60	48	14	500	37	32	55	26	28	24	10	54	185	3	11	46	15	3	75	16	8	3	47	10	7	20	20	251	17	10	13	17	84	14	45	123	78	4	529	2	8	69	2	9	20	1	77	4	9	27	18	43	8	45	96	101	21	45	21	3	14	17	14	3	97	24	16	11	40	2	13	12	5	6	59	10	25	22	48	10	13	74	67	17	592	5	2	5	36	84	13	105	8	85	20	120	41	14	297	36	22	3	24	2	19	128	83	39	10	312	5	29	4	392	30	3	2	8	5	10	2	28	18	0	21	1	21	29	469	24	4	6	39	50	28	26	26	13	27	2	4	1	0	46	47	14	3	21	162	242	165	59	45	2	70	9	82	13	11	15	22	33	31	29	21	28	16	4	50	27	0	7	9	5	10	10	7	26	41	10	25	2	19	25	5	37	16	74	10	0	68	105	93	12	20	188	7	29	4	13	2	8	7	2	14	2	7	1	0	31	37	30	13	7	38	5	5	12	5	130	356	33	6	58	3	10	73	3	16	6	7	6	0	7	17	28	12	50	3	1	8	11	34	13	23	35	44	19	45	70	32	53	22	40	57	11	13	28	25
Autoblog	0	0	0	1	0	29	0	0	0	1	4	0	0	0	62	0	1	3	0	6	0	2	0	0	6	0	0	0	0	43	0	0	3	0	4	0	6	6	12	2	21	0	0	5	1	11	0	0	0	2	6	0	39	0	0	0	5	7	0	6	0	0	0	0	0	2	43	4	0	0	0	0	7	0	0	0	0	0	0	0	1	5	11	0	2	0	45	0	0	1	0	0	0	5	0	9	2	0	0	1	2	1	1	0	1	0	0	8	1	0	0	2	4	0	0	25	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	2	3	13	3	0	0	0	0	0	0	0	0	0	0	1	0	14	17	40	1	4	0	0	0	3	0	0	0	0	0	0	10	1	1	4	1	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	3	1	3	0	3	0	3	0	0	0	0	1	1	2	2	2	1	0	0	0	0	0	0	0	81	56	2	0	12	2	1	0	0	0	0	0	0	0	3	0	1	0	3	1	3	0	40	1	0	0	42	3	2	2	0	3	6	0	0	0	3	1	0	0
Google Blogoscoped	2	2	5	5	4	40	4	0	1	3	1	1	0	3	16	0	0	4	2	0	7	1	0	0	13	1	2	1	0	15	0	2	1	0	6	1	5	12	7	0	36	1	2	4	0	1	2	0	0	0	0	2	4	2	4	2	4	4	3	3	1	1	0	2	0	1	7	1	0	0	4	4	0	0	0	0	1	0	3	4	7	2	0	3	12	0	71	0	2	0	1	6	1	7	1	10	0	5	4	0	13	1	2	0	1	0	0	11	8	0	0	36	0	1	0	43	0	1	0	2	1	1	2	3	0	0	1	0	2	0	18	2	0	1	2	4	8	0	1	0	0	1	1	0	1	4	2	2	0	0	10	14	23	8	3	1	6	1	4	1	0	1	0	1	0	2	1	0	1	1	5	3	0	2	1	0	0	3	1	0	3	3	0	28	1	3	2	6	3	5	0	0	6	9	10	1	11	7	0	1	0	3	0	2	0	1	2	1	2	1	1	4	6	4	1	2	3	0	1	0	1	17	34	5	3	5	1	1	6	0	0	2	1	0	2	0	0	1	0	6	1	0	4	3	7	1	2	3	2	4	5	5	0	1	4	2	5	0	0	2	0
Deadspin	4	1	1	4	9	29	0	0	2	5	2	3	1	1	22	0	0	3	0	0	4	0	1	0	5	0	1	2	0	16	3	1	0	8	4	0	4	2	5	0	36	1	0	25	1	1	0	0	1	0	0	1	1	24	1	1	7	3	1	1	1	0	1	3	0	2	7	1	1	0	2	0	0	0	0	1	0	5	2	0	7	0	4	3	8	0	60	0	0	3	1	4	0	6	2	4	1	5	2	6	9	2	3	0	3	0	1	10	5	0	0	16	1	2	1	32	1	1	5	3	0	1	2	1	1	0	4	0	2	1	2	0	0	1	3	2	2	1	1	1	1	0	0	0	2	2	0	1	0	1	15	10	27	3	1	0	2	2	1	2	0	1	2	0	1	1	0	1	1	0	5	0	2	1	0	1	1	1	0	3	1	0	0	0	1	2	0	0	1	3	0	0	1	4	5	0	3	5	0	2	0	0	2	0	4	0	0	0	0	0	2	1	3	0	2	1	2	0	1	0	0	15	27	3	0	6	1	0	3	0	3	0	0	1	0	0	2	3	1	6	2	0	0	0	4	3	0	1	2	5	4	4	2	3	3	0	1	2	0	0	1
The Dish	2	1	6	2	0	54	2	1	3	4	8	0	3	5	32	2	1	6	7	0	6	11	3	2	10	1	2	0	3	32	0	4	7	1	14	2	9	21	8	1	45	0	3	7	0	0	1	1	0	0	0	0	0	9	0	1	11	12	1	7	3	2	0	0	0	1	23	1	3	0	3	2	0	1	0	1	3	2	7	0	8	2	3	3	18	1	120	0	4	0	0	10	0	3	1	4	2	6	2	3	32	4	3	1	5	0	1	15	12	0	0	19	2	1	0	45	0	0	2	0	3	0	1	1	1	0	3	0	0	1	38	1	0	1	3	4	2	0	2	1	2	1	0	2	1	4	1	4	1	1	30	23	27	2	2	0	4	1	11	2	0	1	2	1	1	4	6	2	1	0	2	2	2	1	2	1	0	1	4	0	5	2	2	0	2	3	0	3	9	5	2	2	0	9	10	1	1	17	3	3	2	0	0	0	0	0	1	1	0	2	0	6	6	5	1	1	1	0	0	2	6	18	56	3	3	6	0	0	9	0	1	0	0	3	0	2	3	11	0	7	0	0	0	1	13	0	0	4	3	7	2	5	3	5	2	6	1	0	1	2	3
kottke.org	12	11	39	10	12	241	12	14	25	9	29	6	3	23	71	3	1	32	6	12	19	20	5	1	27	7	8	13	12	117	7	7	10	10	55	5	38	38	43	7	198	3	2	24	3	11	7	3	8	0	1	30	20	4	4	7	30	57	19	20	5	5	23	1	2	4	38	7	11	2	11	3	8	4	5	5	14	11	5	18	43	7	4	17	38	0	445	2	1	3	14	37	3	39	0	42	7	20	7	11	111	12	13	5	13	3	5	44	15	10	2	63	0	12	6	241	6	3	0	6	9	7	1	35	7	1	4	0	2	18	99	2	0	5	31	13	20	6	5	5	3	3	1	0	3	18	20	5	8	3	78	83	149	14	14	3	11	3	11	5	5	2	4	4	4	18	10	12	12	7	13	11	1	6	9	1	5	6	9	5	17	5	0	4	5	7	2	7	7	34	3	2	43	30	48	3	11	26	2	12	4	9	2	2	4	4	4	6	4	3	3	16	13	21	5	4	10	4	3	3	3	48	307	29	2	23	7	4	22	3	7	10	3	11	8	2	1	36	8	57	9	2	4	8	41	9	15	10	25	16	19	24	9	10	16	12	8	4	3	4	7
O'Reilly Radar	0	0	0	3	0	6	0	0	1	1	4	1	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	7	0	1	0	0	2	0	3	1	2	0	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	3	2	0	0	0	0	0	2	0	0	0	2	1	0	1	0	0	1	2	3	22	0	0	1	1	0	0	1	0	1	0	0	2	0	10	0	1	0	1	0	1	0	0	0	0	3	0	0	0	8	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	1	0	10	7	4	1	0	0	0	0	2	0	1	7	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	2	10	1	0	6	0	0	1	0	0	2	0	2	0	1	0	0	0	2	0	2	0	0	6	0	0	0	0	2	0	1	0	1	0	0	1	0	1	0	0
Lifehack	2	4	7	3	3	16	6	5	0	1	1	0	0	1	7	0	0	1	3	0	2	0	2	0	3	1	1	1	1	5	2	3	1	0	8	0	3	4	2	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	0	3	0	0	0	0	0	0	3	2	2	1	2	0	0	2	0	0	1	0	0	2	2	0	0	0	8	0	47	0	20	0	1	0	0	2	1	4	0	3	4	0	6	0	2	0	7	2	0	5	20	0	0	24	1	0	0	15	2	1	0	0	0	1	0	4	2	0	0	1	0	0	1	0	0	1	0	1	4	2	2	0	1	0	2	0	0	0	0	0	0	0	12	11	9	3	2	0	6	0	0	0	0	0	0	0	0	20	1	0	2	0	1	0	0	0	0	0	2	0	0	2	0	2	0	0	1	0	1	1	6	5	0	0	4	1	6	1	0	1	2	0	0	0	0	0	1	0	2	0	0	0	2	2	1	2	0	0	3	1	0	0	0	27	24	2	1	6	2	0	4	0	2	0	1	0	0	4	1	1	0	5	0	0	0	0	5	0	1	2	2	5	1	0	4	2	0	5	0	3	2	1	0
Lifehacker	2	1	13	6	5	30	1	1	1	1	5	5	2	5	18	0	3	10	0	1	1	0	0	0	4	0	0	1	1	20	2	0	0	0	10	0	5	6	6	1	47	1	1	29	0	2	1	0	2	0	0	0	1	25	1	1	8	1	7	1	0	0	0	1	0	0	9	1	3	2	8	0	2	0	0	0	0	2	1	0	2	0	3	0	4	0	54	0	0	2	2	5	2	7	0	7	2	6	2	3	15	1	1	0	1	0	1	9	25	2	1	40	2	1	4	37	1	1	0	0	0	1	0	4	0	0	1	0	2	0	7	1	1	1	0	2	3	2	1	2	1	0	1	1	1	5	0	0	0	2	16	17	19	6	3	0	3	1	1	0	1	2	0	1	1	0	2	0	0	0	8	1	2	1	0	1	1	0	2	1	1	0	1	4	0	4	0	0	2	6	0	0	6	9	10	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	6	0	0	0	3	1	1	0	8	21	4	0	8	1	0	2	0	5	0	0	1	0	0	1	0	0	4	0	0	0	0	6	0	2	2	4	6	0	3	2	1	0	2	0	1	0	1	1
Google Operating System	7	3	0	3	1	82	2	2	1	2	16	1	4	2	59	2	0	1	0	1	6	0	0	1	8	1	1	1	4	53	0	2	2	0	17	0	13	11	4	2	93	0	0	14	0	3	1	4	1	0	0	9	4	1	5	1	16	10	3	5	0	0	3	1	1	5	18	0	1	1	5	4	2	2	0	0	0	2	3	3	6	4	1	1	8	2	143	2	1	3	1	6	3	27	2	23	5	7	16	2	37	5	10	4	3	0	1	10	20	1	0	66	2	2	0	85	1	0	0	2	3	5	2	6	2	13	7	0	2	0	13	2	0	6	0	4	24	0	2	0	1	0	0	2	0	3	3	0	0	0	24	33	40	11	2	2	4	5	1	3	0	1	0	0	0	5	5	1	0	2	15	3	2	9	3	0	2	0	0	0	3	1	0	108	1	4	1	7	3	3	0	2	17	10	7	1	0	3	1	1	0	4	0	1	0	1	0	0	2	1	1	2	6	15	1	3	3	1	0	0	2	10	42	7	0	3	7	1	4	3	0	0	1	0	3	0	0	0	0	11	4	0	9	7	22	1	2	2	7	3	12	1	1	13	9	4	2	0	2	0	0
Celebslam	1	0	0	0	0	14	0	0	0	0	1	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	5	0	0	0	0	17	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	10	1	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	20	0	0	0	0	0	0	13	2	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Mashable	5	3	9	9	1	111	4	6	1	4	32	4	8	6	46	1	1	8	1	2	7	4	0	1	7	2	4	4	4	71	3	4	13	8	30	0	14	20	19	3	123	4	1	70	6	8	0	2	1	3	3	25	21	30	1	4	17	19	11	11	1	0	7	2	0	4	19	2	2	2	2	2	1	2	2	2	2	3	1	3	9	2	3	4	5	3	196	4	6	1	7	8	2	9	0	11	0	5	9	11	32	4	2	2	5	2	6	12	19	2	2	31	3	5	2	112	0	0	2	3	2	5	3	5	2	9	0	9	4	3	10	3	17	3	8	3	22	2	1	3	0	0	1	2	4	2	2	1	2	1	31	47	70	6	8	3	10	2	1	1	1	3	2	2	2	11	5	0	3	3	2	3	3	2	2	1	3	3	0	8	7	0	5	4	0	2	1	3	5	12	1	5	13	47	18	2	6	6	1	11	0	0	1	2	3	1	2	4	1	5	4	12	0	5	3	3	2	5	5	0	1	48	94	11	1	14	1	0	9	2	5	1	2	2	2	2	0	5	3	22	3	10	2	1	17	4	1	3	8	11	8	8	0	9	2	3	2	0	6	2	4
TechCrunch	0	1	5	2	2	36	0	1	1	1	8	1	0	1	15	0	2	2	0	4	2	3	1	7	4	0	1	0	0	26	0	1	2	1	14	0	5	8	5	1	48	0	0	25	8	8	0	0	0	0	6	1	1	20	1	2	7	5	2	5	0	2	1	0	0	1	6	3	0	0	1	0	0	0	0	0	1	1	0	4	1	1	1	2	3	1	63	1	0	0	2	3	1	6	0	2	1	3	1	4	21	0	0	0	0	0	1	4	4	3	1	14	1	1	0	38	1	2	1	1	0	0	0	1	2	2	1	5	0	0	1	0	0	2	0	0	6	1	0	1	0	0	0	3	0	0	5	0	0	2	16	16	21	2	0	1	1	2	0	0	0	0	1	0	2	1	0	0	1	3	1	2	1	1	0	1	1	2	2	2	1	1	5	1	0	2	1	0	1	5	0	1	2	3	3	2	4	0	2	3	0	0	0	1	0	0	0	1	0	2	0	2	2	3	4	1	1	1	2	0	0	19	26	1	0	4	3	0	0	0	1	1	0	0	0	0	2	1	0	2	1	8	2	2	4	2	0	0	5	5	6	1	0	5	2	2	1	2	3	0	0
Quick Online Tips	3	2	16	0	5	12	1	0	0	0	1	0	0	1	14	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	7	0	1	5	12	0	32	0	0	0	3	0	0	0	0	0	0	0	1	13	0	0	1	1	2	0	1	0	1	1	1	1	1	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	2	2	7	34	0	11	1	5	2	1	1	0	2	0	3	3	1	0	0	2	0	0	1	0	1	11	0	0	11	0	3	0	8	0	0	0	0	0	1	0	2	0	0	1	1	0	0	2	2	0	0	0	1	8	1	0	0	3	0	0	1	0	1	0	0	0	0	8	5	15	1	6	0	1	0	0	1	0	0	0	0	0	13	4	0	0	0	2	0	0	0	1	1	0	0	0	0	1	1	1	20	0	0	0	0	1	5	0	1	1	0	2	1	0	1	0	0	0	0	0	3	0	6	0	0	10	0	0	0	0	0	1	0	0	0	0	2	0	21	11	0	0	11	0	0	2	0	0	1	0	0	5	0	1	0	0	5	2	0	0	2	0	1	0	1	1	1	5	0	2	3	0	0	0	0	0	0	6
Oilman	0	1	3	3	0	17	3	1	0	2	1	0	1	4	3	0	1	1	2	0	4	1	0	0	2	1	0	0	2	8	1	1	0	0	0	0	0	4	2	0	15	0	2	2	0	0	0	0	5	1	0	1	2	0	1	0	2	4	1	3	0	1	0	1	0	1	4	1	0	1	2	1	1	0	0	0	1	0	0	0	1	0	1	0	5	0	17	0	1	0	1	1	1	2	0	0	0	2	2	1	5	0	1	0	0	0	0	4	0	1	0	4	0	0	0	13	0	0	0	1	0	0	0	3	2	0	0	0	2	0	26	3	4	0	0	1	3	0	1	0	0	0	0	0	0	2	1	0	0	0	6	16	8	2	0	0	2	1	4	1	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	4	0	0	3	2	2	1	2	6	0	1	1	0	0	0	2	0	3	0	0	1	0	2	1	1	1	0	1	0	0	1	2	3	9	0	0	1	0	0	4	1	2	0	0	1	0	1	1	0	0	1	1	0	0	1	2	1	0	1	1	1	0	0	3	0	0	2	0	1	1	0	0
TMZ.com	1	0	2	3	1	19	1	0	1	1	5	1	2	0	18	0	0	2	0	0	1	0	0	0	2	0	1	0	0	27	0	2	0	9	6	0	2	4	7	0	20	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	2	1	10	0	0	2	0	0	3	2	0	2	0	1	0	1	0	0	2	0	2	0	0	1	0	1	1	4	1	31	1	0	0	0	3	0	1	0	0	1	6	0	1	1	1	1	0	2	0	1	5	2	0	1	4	0	1	1	18	1	0	0	0	0	0	0	2	2	0	0	0	1	6	1	0	2	1	16	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	12	5	15	2	0	0	2	3	1	2	0	0	0	1	0	1	1	3	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	5	0	0	1	4	4	0	1	2	0	3	0	0	3	1	0	0	0	0	3	0	0	1	1	3	0	0	0	0	1	0	0	11	13	1	0	1	1	0	2	0	1	0	0	0	0	0	0	7	1	0	0	0	0	0	3	0	0	0	6	4	0	6	1	1	0	1	0	2	0	0	0
Seth Godin's Blog on marketing, tribes and respect	1	1	1	2	2	11	0	0	2	1	1	2	0	2	1	0	0	1	0	0	0	1	0	0	3	1	2	0	0	14	1	1	0	0	4	0	3	0	1	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	20	0	0	0	0	3	0	3	0	2	0	4	0	0	13	0	2	0	0	0	0	6	0	0	0	13	0	1	0	13	0	0	1	0	0	0	0	0	2	0	0	0	1	6	2	1	0	0	1	0	4	0	0	4	0	0	0	0	0	0	0	0	0	1	7	15	11	5	0	1	2	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	4	0	1	1	5	3	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	2	2	4	0	0	0	1	1	1	0	0	8	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
